# Automobile Data Set
# https://archive.ics.uci.edu/ml/datasets/automobile
price,horsepower,width,height
10245,84.0,66.5,55.5
15250,110.0,66.3,53.1
5572,68.0,63.8,50.8
34028,207.0,65.0,51.6
10945,101.0,65.7,49.6
6575,70.0,63.6,52.0
8449,116.0,65.6,52.0
15645,135.0,65.7,49.6
35056,155.0,70.5,50.8
16500,154.0,65.5,52.4
13499,,66.5,55.1
16925,101.0,64.8,54.3
6669,68.0,64.4,50.8
7603,73.0,63.8,55.7
18950,162.0,67.2,57.5
18344,72.0,66.1,54.4
16695,95.0,68.4,56.7
8499,88.0,65.4,49.4
7995,52.0,65.5,55.7
18150,142.0,68.3,56.0
8778,62.0,63.6,59.1
15510,110.0,66.5,56.1
11245,84.0,66.5,55.5
7099,55.0,63.8,54.5
19699,200.0,67.9,49.7
8921,88.0,64.6,59.8
10698,73.0,66.5,54.9
16500,111.0,64.1,48.8
5195,68.0,64.2,54.1
11248,92.0,66.5,53.9
13295,110.0,66.9,55.1
10295,86.0,62.5,54.1
7689,102.0,63.8,50.8
7299,69.0,63.8,54.5
7295,76.0,63.9,58.3
12764,145.0,66.3,50.2
9988,92.0,66.5,53.9
9639,116.0,65.6,52.0
36000,262.0,70.6,47.8
15998,161.0,67.7,52.0
13415,114.0,67.2,57.5
18920,110.0,71.4,55.7
8558,102.0,63.8,50.6
7898,62.0,63.6,59.1
10595,84.0,66.5,53.7
16503,175.0,68.0,54.8
18399,160.0,67.9,49.7
22625,114.0,68.9,55.5
8845,84.0,66.5,53.7
9980,90.0,64.0,51.4
6692,68.0,63.8,50.6
11048,90.0,65.2,51.4
17199,160.0,67.9,49.7
8013,82.0,65.4,54.9
6377,68.0,63.8,50.8
10795,64.0,66.5,55.5
15690,156.0,66.5,54.1
40960,184.0,71.7,56.7
7349,69.0,63.8,53.5
6795,68.0,64.2,54.1
7975,85.0,65.5,55.7
16900,95.0,68.4,56.7
8249,69.0,63.8,53.3
17669,116.0,65.6,53.0
8358,70.0,64.4,52.8
34184,155.0,71.7,56.5
16515,114.0,67.2,57.5
15985,114.0,67.2,56.2
31600,123.0,71.7,56.3
28176,123.0,70.3,54.9
7609,68.0,63.8,50.8
8845,86.0,65.2,54.1
19045,160.0,68.8,55.5
9538,112.0,64.0,52.6
14399,152.0,66.5,56.1
7898,56.0,64.4,53.0
8189,88.0,65.4,51.6
11549,116.0,65.6,52.0
7957,102.0,63.8,50.8
10345,100.0,66.0,51.0
14869,145.0,66.3,50.2
14489,145.0,66.3,50.2
6529,76.0,64.0,52.6
22470,106.0,68.9,55.5
6095,68.0,64.2,54.1
7609,68.0,63.8,50.6
11845,101.0,65.7,49.6
13200,95.0,68.4,56.7
5151,48.0,60.3,53.2
17075,95.0,68.4,58.7
7395,68.0,64.2,54.1
30760,182.0,66.9,55.7
6989,88.0,65.4,51.6
9279,116.0,65.4,51.6
11595,90.0,64.2,55.6
6479,58.0,63.9,50.8
13950,102.0,66.2,54.3
6229,68.0,63.8,50.6
6488,62.0,63.6,54.5
12290,88.0,66.9,55.1
