Invoice,Item
T1008,112
T1011,147
T1022,195
T1086,140
T1033,178
T1028,178
T1005,175
T1088,121
T1056,182
T1051,203
T1093,166
T1048,170
T1057,165
T1035,105
T1004,147
T1060,141
T1049,155
T1068,122
T1072,123
T1031,130
T1004,123
T1042,123
T1018,166
T1066,147
T1066,187
T1072,124
T1058,202
T1054,195
T1068,198
T1047,202
T1076,146
T1047,158
T1021,197
T1052,192
T1095,160
T1084,168
T1032,163
T1036,164
T1065,166
T1046,185
T1059,160
T1045,173
T1093,172
T1093,159
T1063,185
T1029,142
T1090,122
T1079,135
T1099,162
T1040,139
T1091,165
T1072,167
T1065,184
T1079,176
T1053,140
T1094,127
T1063,166
T1047,188
T1080,110
T1044,193
T1002,125
T1096,114
T1008,174
T1084,107
T1035,176
T1030,188
T1014,197
T1067,118
T1035,132
T1027,108
T1055,192
T1098,105
T1008,147
T1047,123
T1032,187
T1004,111
T1015,109
T1004,106
T1094,103
T1048,133
T1017,121
T1095,124
T1067,189
T1001,150
T1076,106
T1032,120
T1005,101
T1045,179
T1081,196
T1096,115
T1037,144
T1063,104
T1040,158
T1071,199
T1078,195
T1006,134
T1097,152
T1080,191
T1020,161
T1029,112
T1085,188
T1041,114
T1004,158
T1017,167
T1075,200
T1051,163
T1066,142
T1019,144
T1034,134
T1078,154
T1084,103
T1090,172
T1018,186
T1008,133
T1005,117
T1021,122
T1013,159
T1082,130
T1066,191
T1005,132
T1030,192
T1057,110
T1033,111
T1076,130
T1080,202
T1080,191
T1047,133
T1088,155
T1036,168
T1097,101
T1020,105
T1050,153
T1021,115
T1066,193
T1012,131
T1014,113
T1003,124
T1097,130
T1014,128
T1004,167
T1086,160
T1059,140
T1069,183
T1049,128
T1088,198
T1027,194
T1056,155
T1066,103
T1075,176
T1007,154
T1068,175
T1024,113
T1085,203
T1062,147
T1003,167
T1016,179
T1047,138
T1089,148
T1040,103
T1088,153
T1013,114
T1040,126
T1087,103
T1058,108
T1053,182
T1063,160
T1027,176
T1079,110
T1001,137
T1004,148
T1040,193
T1010,129
T1097,163
T1025,115
T1074,148
T1051,192
T1060,118
T1097,145
T1051,116
T1033,116
T1016,111
T1079,143
T1083,151
T1028,189
T1014,104
T1080,185
T1061,200
T1006,193
T1091,164
T1038,146
T1059,119
T1048,135
T1062,168
T1062,193
T1094,203
T1054,163
T1088,138
T1051,130
T1021,163
T1077,134
T1071,155
T1090,187
T1090,111
T1075,194
T1074,113
T1010,146
T1023,170
T1019,154
T1009,203
T1012,188
T1083,105
T1017,138
T1050,130
T1091,186
T1088,143
T1057,123
T1068,137
T1015,120
T1070,197
T1055,113
T1043,167
T1032,192
T1066,133
T1022,121
T1060,191
T1031,152
T1046,201
T1098,174
T1094,119
T1060,157
T1093,104
T1077,150
T1095,124
T1051,166
T1007,162
T1036,152
T1033,191
T1094,153
T1091,183
T1061,147
T1071,143
T1092,196
T1085,111
T1098,193
T1029,169
T1080,125
T1052,186
T1049,182
T1002,141
T1060,168
T1092,160
T1084,123
T1013,103
T1052,128
T1094,173
T1078,150
T1028,113
T1050,172
T1099,203
T1026,136
T1096,176
T1075,125
T1063,203
T1079,118
T1002,179
T1087,156
T1062,133
T1066,173
T1023,160
T1092,127
T1098,110
T1045,101
T1063,169
T1086,185
T1009,197
T1076,163
T1087,143
T1059,135
T1065,159
T1004,111
T1079,197
T1045,123
T1098,197
T1052,133
T1087,181
T1093,118
T1007,121
T1064,149
T1060,187
T1038,120
T1002,137
T1072,160
T1001,147
T1005,169
T1049,173
T1057,127
T1087,140
T1064,184
T1018,162
T1089,169
T1092,139
T1010,134
T1041,139
T1043,183
T1040,184
T1083,151
T1067,112
T1066,182
T1027,151
T1077,168
T1020,203
T1065,181
T1012,140
T1006,130
T1059,172
T1030,167
T1036,108
T1015,115
T1087,201
T1049,147
T1028,141
T1046,110
T1043,159
T1047,122
T1064,157
T1038,160
T1018,192
T1057,182
T1028,135
T1042,121
T1013,131
T1061,125
T1097,187
T1048,124
T1046,118
T1018,130
T1035,171
T1082,149
T1052,196
T1044,136
T1093,177
T1065,175
T1089,194
T1042,196
T1052,197
T1092,191
T1081,197
T1092,138
T1069,180
T1082,186
T1010,148
T1040,151
T1062,123
T1034,146
T1057,162
T1012,124
T1041,149
T1017,104
T1014,145
T1022,146
T1010,194
T1098,184
T1056,102
T1070,142
T1031,177
T1050,170
T1037,161
T1082,120
T1047,141
T1026,164
T1013,119
T1027,143
T1033,119
T1054,147
T1033,112
T1044,125
T1032,191
T1031,194
T1079,106
T1044,148
T1083,199
T1079,108
T1019,123
T1009,156
T1057,200
T1035,117
T1042,167
T1074,115
T1044,183
T1099,191
T1079,151
T1030,107
T1051,199
T1061,163
T1080,141
T1070,180
T1077,112
T1076,166
T1069,186
T1064,152
T1089,159
T1022,153
T1050,168
T1058,106
T1014,158
T1076,117
T1016,188
T1065,123
T1010,151
T1040,159
T1091,102
T1033,114
T1086,145
T1029,123
T1004,119
T1055,186
T1012,144
T1084,160
T1007,161
T1031,109
T1062,118
T1072,104
T1018,190
T1065,170
T1008,107
T1026,170
T1001,167
T1044,188
T1068,131
T1018,148
T1063,101
T1017,170
T1015,132
T1014,160
T1028,203
T1007,179
T1028,181
T1049,144
T1080,183
T1051,192
T1068,165
T1087,121
T1066,114
T1020,181
T1027,123
T1049,126
T1039,144
T1056,119
T1055,117
T1051,141
T1039,113
T1072,113
T1061,135
T1037,168
T1098,163
T1036,130
T1054,190
T1018,190
T1071,185
T1014,104
T1078,171
T1097,126
T1028,125
T1051,175
T1006,183
T1018,181
T1004,196
T1034,190
T1093,161
T1070,107
T1095,199
T1029,119
T1077,141
T1005,189
T1026,114
T1018,182
T1089,170
T1024,198
T1012,188
T1060,181
T1038,127
T1021,142
T1090,136
T1067,173
T1009,153
T1054,186
T1093,105
T1059,139
T1085,116
T1082,190
T1094,135
T1003,128
T1054,143
T1034,169
T1094,151
T1076,168
T1096,126
T1056,199
T1017,189
T1022,201
T1058,159
T1045,150
T1061,179
T1033,179
T1025,175
T1061,157
T1025,197
T1061,174
T1044,140
T1010,122
T1048,178
T1081,161
T1029,199
T1079,184
T1085,174
T1017,188
T1040,127
T1069,139
T1013,102
T1004,126
T1041,108
T1041,169
T1033,202
T1093,186
T1044,157
T1010,154
T1061,192
T1003,137
T1075,174
T1017,128
T1020,121
T1078,199
T1049,193
T1009,182
T1076,158
T1036,183
T1011,164
T1062,203
T1031,120
T1073,139
T1030,126
T1080,191
T1043,176
T1079,190
T1051,168
T1053,131
T1083,128
T1072,108
T1034,186
T1032,118
T1080,194
T1051,156
T1016,159
T1051,151
T1061,149
T1037,128
T1031,129
T1008,169
T1068,112
T1078,170
T1087,101
T1007,150
T1091,156
T1052,130
T1066,135
T1013,147
T1066,147
T1067,201
T1064,175
T1009,191
T1059,195
T1090,129
T1036,104
T1004,162
T1006,117
T1084,119
T1027,142
T1031,169
T1007,179
T1019,183
T1038,198
T1014,183
T1072,170
T1012,187
T1086,118
T1056,191
T1018,105
T1040,166
T1085,135
T1061,107
T1072,146
T1098,144
T1088,113
T1078,147
T1014,178
T1045,147
T1082,136
T1062,137
T1066,177
T1020,104
T1006,144
T1056,182
T1002,145
T1087,169
T1092,107
T1085,110
T1089,170
T1065,179
T1099,156
T1055,154
T1031,202
T1024,121
T1079,106
T1003,176
T1098,193
T1046,187
T1024,138
T1003,106
T1032,173
T1029,152
T1009,147
T1015,177
T1009,132
T1030,171
T1025,114
T1001,189
T1052,111
T1065,136
T1075,184
T1029,107
T1068,167
T1068,152
T1055,201
T1017,120
T1055,117
T1059,195
T1048,107
T1074,124
T1067,157
T1056,177
T1083,158
T1021,164
T1077,117
T1045,119
T1003,133
T1091,124
T1020,182
T1053,173
T1081,133
T1057,161
T1060,125
T1055,156
T1035,200
T1029,146
T1097,181
T1005,151
T1080,104
T1055,139
T1004,171
T1062,173
T1034,188
T1035,132
T1060,192
T1059,147
T1067,180
T1060,185
T1032,172
T1069,121
T1059,137
T1097,147
T1054,115
T1065,188
T1032,196
T1084,185
T1050,115
T1056,177
T1060,180
T1067,159
T1012,195
T1050,158
T1079,199
T1092,190
T1095,147
T1072,145
T1022,119
T1030,186
T1084,123
T1053,158
T1064,191
T1093,123
T1053,134
T1041,174
T1052,139
T1083,192
T1034,186
T1041,186
T1002,152
T1076,106
T1027,159
T1013,115
T1002,147
T1042,178
T1041,194
T1052,123
T1096,142
T1011,168
T1077,162
T1052,180
T1031,157
T1013,178
T1003,145
T1004,139
T1064,118
T1092,191
T1007,102
T1043,152
T1062,184
T1079,101
T1062,182
T1074,127
T1029,195
